subject,action,feature,group,U1,U2,D1,D2,L1,L2,R1,R2
subject_1,1,MAV,1,0.169748592785,0.032689543843,0.0882220384618,0.11031084969,0.0635975881247,0.279243790656,0.598529164136,0.787590743032
subject_1,1,ZC,1,0.0266528761238,0.0529079481263,0.00023868247275,0.0673084573156,0.01591216485,0.0801177500199,0.00819476489776,0.0850505211234
subject_1,1,SSC,1,0.00407316892542,0.0161198745958,0.0109111555457,0.0306104816214,0.0194524673529,0.0435211928213,0.0254017625713,0.0740823026982
subject_1,1,WL,1,0.162732193203,0.0530759306066,0.0845015163144,0.0484360512435,0.102737431581,0.248618351814,0.611690874147,0.782857725881
subject_1,1,MAV,2,0.222186633837,0.420872114813,0.0524880880843,0.0567486392875,0.44596054802,1.73298347787,0.116075287531,0.164702021832
subject_1,1,ZC,2,0.0749582405345,0.11776169265,0.0411330734967,0.0298580178174,0.0508073496659,0.118040089087,0.0440562360802,0.0512945434298
subject_1,1,SSC,2,0.0262488244731,0.0593848536815,0.000414891851524,0.00215743762793,0.0374509044642,0.0919953532113,0.00622337777286,0.010621231399
subject_1,1,WL,2,0.146876314974,0.25568082071,0.0699612947638,0.0748454426441,0.390565954972,1.48670809315,0.151113427342,0.201434772059
subject_1,1,MAV,3,0.0962168235545,0.296028634991,0.0492299548689,0.144652161919,0.163766518285,0.593868802025,0.324771057199,0.665031746657
subject_1,1,ZC,3,0.083045538511,0.0774235001205,0.041281824753,0.00979840976628,0.125291141274,0.101678580034,0.0540518833829,0.0139747811421
subject_1,1,SSC,3,0.0425521684777,0.055942879123,0.00449562457929,0.00927973843639,0.071833830176,0.0888787383402,0.00752476199635,0.0171891528032
subject_1,1,WL,3,0.0023237861286,0.229505098687,0.00126954164241,0.122757347523,0.0811364550529,0.568743456915,0.345068914701,0.685389559177
subject_1,1,MAV,4,0.0962168235545,0.296028634991,0.0492299548689,0.144652161919,0.163766518285,0.593868802025,0.324771057199,0.665031746657
subject_1,1,ZC,4,0.083045538511,0.0774235001205,0.041281824753,0.00979840976628,0.125291141274,0.101678580034,0.0540518833829,0.0139747811421
subject_1,1,SSC,4,0.0425521684777,0.055942879123,0.00449562457929,0.00927973843639,0.071833830176,0.0888787383402,0.00752476199635,0.0171891528032
subject_1,1,WL,4,0.0023237861286,0.229505098687,0.00126954164241,0.122757347523,0.0811364550529,0.568743456915,0.345068914701,0.685389559177
subject_1,2,MAV,1,0.154759910427,0.0105958461222,0.0411617402705,0.175666940236,0.022508753633,0.269232475503,0.149827448746,0.0378186302859
subject_1,2,ZC,1,0.0551161641127,0.147882682485,0.00321304992585,0.00848574724007,0.0308947108255,0.154720711814,0.0305651672434,0.0779370571758
subject_1,2,SSC,1,0.0405035021825,0.0288803167191,0.0110902446452,0.00317226677495,0.00304537610395,0.0456806415592,0.0502994619836,0.0319764490915
subject_1,2,WL,1,0.0972216765708,0.178557437097,0.0154641316831,0.135467242644,0.00071672234621,0.150029589978,0.168395124956,0.0258605605315
subject_1,2,MAV,2,0.185420837269,0.340470366471,0.00974360404807,0.00491048758063,0.563657908498,0.732419067429,0.392455130073,0.557311952504
subject_1,2,ZC,2,0.0387233043886,0.107877650004,0.0592192756004,0.144175858562,0.124462176328,0.0794805601189,0.131581006024,0.180004693734
subject_1,2,SSC,2,0.0275373115158,0.0610085026587,0.0033651005677,0.0198309743379,0.0445683166791,0.0631149014873,0.0404582701842,0.0698964782039
subject_1,2,WL,2,0.146959252862,0.263212119473,0.0627631628373,0.191160189673,0.42869522529,0.627200226327,0.310969149039,0.480170718487
subject_1,2,MAV,3,0.180280421924,0.393889842256,0.0376506653032,0.0707306450618,0.0254206374109,0.341920319065,0.0122436138793,0.36455489312
subject_1,2,ZC,3,0.00530524373366,0.0588190066123,0.045517453483,0.0148393049362,0.0868060894972,0.166077195141,0.0143010918038,0.10318314624
subject_1,2,SSC,3,0.0032782653588,0.0139132679401,0.0161848218895,0.0133711925658,0.0734899328859,0.105756324213,0.0171399070728,0.0448373773877
subject_1,2,WL,3,0.21089920459,0.347421368352,0.00445390580401,0.092838244564,0.107801879894,0.241374971727,0.0552499603227,0.567411395358
subject_1,2,MAV,4,0.180280421924,0.393889842256,0.0376506653032,0.0707306450618,0.0254206374109,0.341920319065,0.0122436138793,0.36455489312
subject_1,2,ZC,4,0.00530524373366,0.0588190066123,0.045517453483,0.0148393049362,0.0868060894972,0.166077195141,0.0143010918038,0.10318314624
subject_1,2,SSC,4,0.0032782653588,0.0139132679401,0.0161848218895,0.0133711925658,0.0734899328859,0.105756324213,0.0171399070728,0.0448373773877
subject_1,2,WL,4,0.21089920459,0.347421368352,0.00445390580401,0.092838244564,0.107801879894,0.241374971727,0.0552499603227,0.567411395358
subject_1,3,MAV,1,0.135671934786,0.0601607868741,0.00239804273562,0.0260649535543,0.0195358583506,0.218841284869,0.471515693506,0.651478685048
subject_1,3,ZC,1,0.0151418212839,0.0113741380536,0.021113243762,0.0631975545603,0.0479135565508,0.193360346911,0.0186251510628,0.130447145802
subject_1,3,SSC,1,0.0210191415011,0.0112919209305,0.0013299953059,0.0116309393418,0.0414384811975,0.0833985291817,0.0281385281385,0.0739581703437
subject_1,3,WL,1,0.123531077006,0.0667346261523,0.0165648885137,0.0824203608951,0.0305748994917,0.0521624858539,0.473710770193,0.621697560519
subject_1,3,MAV,2,0.123777371698,0.260541975594,0.0498433246031,0.0705091320382,0.288917460576,0.954464823406,0.154768866332,0.259635480748
subject_1,3,ZC,2,0.0205040831914,0.0229716232889,0.0489982962223,0.100170377769,0.0657423183127,0.158157570061,0.030667998355,0.0278479525292
subject_1,3,SSC,2,0.0045439981358,0.00128164049984,0.0171565057819,0.0468672628237,0.0343421397571,0.0855203751711,0.0064082024992,0.0105444059305
subject_1,3,WL,2,0.151388916846,0.295943402329,0.0895718360587,0.156155962841,0.200252682744,0.66977527515,0.129722178082,0.239608734935
subject_1,3,MAV,3,0.00773906096114,0.10065056839,0.120232462788,0.0953198902951,0.26930237138,0.604061882934,0.0296093010443,0.417464910432
subject_1,3,ZC,3,0.0126703499079,0.101731123389,0.0826519337017,0.0139963167587,0.014438305709,0.0455985267035,0.057532228361,0.0840515653775
subject_1,3,SSC,3,0.0220606731398,0.046636816421,0.0329023494491,0.00560949841525,0.0318961613926,0.0636413945766,0.0312924485586,0.0157216883836
subject_1,3,WL,3,0.0431711813691,0.00605642032682,0.0519964124744,0.0827038434196,0.257122217273,0.592817818253,0.00870607069773,0.457821114099
subject_1,3,MAV,4,0.00773906096114,0.10065056839,0.120232462788,0.0953198902951,0.26930237138,0.604061882934,0.0296093010443,0.417464910432
subject_1,3,ZC,4,0.0126703499079,0.101731123389,0.0826519337017,0.0139963167587,0.014438305709,0.0455985267035,0.057532228361,0.0840515653775
subject_1,3,SSC,4,0.0220606731398,0.046636816421,0.0329023494491,0.00560949841525,0.0318961613926,0.0636413945766,0.0312924485586,0.0157216883836
subject_1,3,WL,4,0.0431711813691,0.00605642032682,0.0519964124744,0.0827038434196,0.257122217273,0.592817818253,0.00870607069773,0.457821114099
subject_1,4,MAV,1,0.0550751682021,0.187059893547,0.00482607046954,0.0173124830831,0.110917260242,0.330243180114,0.0966269447559,0.132272882859
subject_1,4,ZC,1,0.00316191385276,0.000835222527145,0.0241617945353,0.0406872688223,0.0183748955972,0.0333492423339,0.00143181004653,0.00184942131011
subject_1,4,SSC,1,0.00726182928938,0.0169442683419,0.0122471327301,0.00723301250648,0.0101435075788,0.015561062763,0.0110656446314,0.0139473229209
subject_1,4,WL,1,0.0728748751475,0.214122486349,0.0338305347021,0.0233791242877,0.0914560019568,0.31738855505,0.0802250267658,0.101348373474
subject_1,4,MAV,2,0.145991142518,0.271319397144,0.0829559404573,0.190517800197,0.0739830009381,0.118101861371,0.0737013114792,0.164528449099
subject_1,4,ZC,2,0.00896461648065,0.00837093327001,0.00267157444787,0.0156138684398,0.00302778437426,0.00629304203277,0.00231536452149,0.0341961529328
subject_1,4,SSC,2,0.00287773883808,0.0129070860757,0.0122517594096,0.024645981138,0.00253582927316,0.000313417101177,0.012764623757,0.0221671367923
subject_1,4,WL,2,0.145546171287,0.272388394756,0.0868252062759,0.187048090853,0.0639603499408,0.0889693775682,0.0667602254945,0.14795532799
subject_1,4,MAV,3,0.117260481688,0.192247991319,0.129827938082,0.177015553147,0.338188802316,0.248257077558,0.011830405517,0.259574549695
subject_1,4,ZC,3,0.0481695568401,0.0683675503289,0.0221247757624,0.0124244236263,0.00179390073749,0.0301641086971,0.0403295462096,0.0645804265497
subject_1,4,SSC,3,0.0245543129222,0.0324161222456,0.00741889048832,0.00063669582549,0.0274886502048,0.0346583988484,0.00592403941978,0.0231425091352
subject_1,4,WL,3,0.0804207277558,0.159070918418,0.127784846451,0.216211711366,0.313155673129,0.265525857339,0.0251570031291,0.214196474417
subject_1,4,MAV,4,0.117260481688,0.192247991319,0.129827938082,0.177015553147,0.338188802316,0.248257077558,0.011830405517,0.259574549695
subject_1,4,ZC,4,0.0481695568401,0.0683675503289,0.0221247757624,0.0124244236263,0.00179390073749,0.0301641086971,0.0403295462096,0.0645804265497
subject_1,4,SSC,4,0.0245543129222,0.0324161222456,0.00741889048832,0.00063669582549,0.0274886502048,0.0346583988484,0.00592403941978,0.0231425091352
subject_1,4,WL,4,0.0804207277558,0.159070918418,0.127784846451,0.216211711366,0.313155673129,0.265525857339,0.0251570031291,0.214196474417
subject_1,5,MAV,1,0.136266485585,0.00367733723997,0.013747181176,0.00119228892801,0.00765610584764,0.193564589076,0.428211122521,0.687396217305
subject_1,5,ZC,1,0.0436261757054,0.0983256620639,0.0178106864118,0.126542592222,0.0538322993796,0.0550330198119,0.0611033286639,0.065039023414
subject_1,5,SSC,1,0.0237434554974,0.0550785340314,0.0126963350785,0.0556544502618,0.039057591623,0.0284816753927,0.0339005235602,0.0241884816754
subject_1,5,WL,1,0.171921686991,0.0755880844042,0.00985898333871,0.125364891706,0.0561875920036,0.145814282888,0.473288891096,0.711624053818
subject_1,5,MAV,2,0.169986896726,0.395267219935,0.0452318095173,0.0177955509131,0.569960425194,1.87164122413,0.18081574652,0.250410759643
subject_1,5,ZC,2,0.0689269486194,0.104089479203,0.0216008388675,0.0659909122684,0.0202027263195,0.0160782943027,0.0320167773506,0.0506815798672
subject_1,5,SSC,2,0.0152655847032,0.0394925365358,0.00312605830099,0.0297757053169,0.0191992080652,0.0288639383124,0.00359496704614,0.00729413603564
subject_1,5,WL,2,0.091741163973,0.239136419947,0.00699253543176,0.0629937883488,0.575820967141,1.87819570261,0.211187389649,0.292285100503
subject_1,5,MAV,3,0.150584872665,0.111968889933,0.0708957095019,0.170141344915,0.218577679501,0.564157350691,0.0737310405433,0.509018115234
subject_1,5,ZC,3,0.0429496497952,0.115897978063,0.069974890974,0.0364741641337,0.0854367649002,0.0249107968812,0.0142064226246,0.0712303422757
subject_1,5,SSC,3,0.0120529591729,0.0485810739529,0.0489503112143,0.0432007595738,0.0520097056652,0.0231828251925,0.0302247072476,0.0307521890495
subject_1,5,WL,3,0.105649671467,0.000379731658916,0.00227872956241,0.145928115825,0.152128624139,0.557208379365,0.0783536367698,0.536901471499
subject_1,5,MAV,4,0.150584872665,0.111968889933,0.0708957095019,0.170141344915,0.218577679501,0.564157350691,0.0737310405433,0.509018115234
subject_1,5,ZC,4,0.0429496497952,0.115897978063,0.069974890974,0.0364741641337,0.0854367649002,0.0249107968812,0.0142064226246,0.0712303422757
subject_1,5,SSC,4,0.0120529591729,0.0485810739529,0.0489503112143,0.0432007595738,0.0520097056652,0.0231828251925,0.0302247072476,0.0307521890495
subject_1,5,WL,4,0.105649671467,0.000379731658916,0.00227872956241,0.145928115825,0.152128624139,0.557208379365,0.0783536367698,0.536901471499
subject_1,6,MAV,1,0.176189712308,0.582132395623,0.286162224994,0.367108938671,0.00589204857986,0.193580686128,1.2653787728,1.30324886838
subject_1,6,ZC,1,0.0379429288178,0.0188773910317,0.0839134524929,0.200689871433,0.0482282847288,0.0176230793352,0.229037315773,0.279335214801
subject_1,6,SSC,1,0.0271332281658,0.0211960418758,0.071733830489,0.113035995985,0.0204789903915,0.0107270902051,0.158095511258,0.15479707443
subject_1,6,WL,1,0.210435194993,0.56639645584,0.162290542772,0.109480923028,0.042952371361,0.208397876142,0.752010286437,0.697467918515
subject_1,6,MAV,2,0.190893066619,0.359695433542,0.01688300283,0.0663945966593,0.494110153074,0.46954394354,0.378292753293,0.550175452695
subject_1,6,ZC,2,0.0841286390248,0.197048680728,0.0478787392734,0.182933675515,0.0784345176037,0.0141150052129,0.119095356484,0.200256636458
subject_1,6,SSC,2,0.035648004949,0.0763996288277,0.00938241055779,0.0161614599443,0.037787400763,0.0407516238788,0.0421692958037,0.0742602330137
subject_1,6,WL,2,0.139863543483,0.251497015973,0.0384804248329,0.137260792894,0.395608957863,0.440452113027,0.296967930243,0.462620280534
subject_1,6,MAV,3,0.070482207815,0.419016786078,0.0663700383717,0.249048913048,0.0398159939371,0.039748046153,0.42737186581,0.98846837112
subject_1,6,ZC,3,0.0098981077147,0.0724163027656,0.011499272198,0.0205240174672,0.0708879184862,0.032096069869,0.046943231441,0.00218340611354
subject_1,6,SSC,3,0.000241708070364,0.0421914865046,0.00185309520612,0.00585470659326,0.0526923593393,0.0457902511078,0.0417080703639,0.015845306835
subject_1,6,WL,3,0.0919619880668,0.322861387641,0.0602994672965,0.197177901032,0.0871936704087,0.0655244519411,0.380893799499,1.02061523772
subject_1,6,MAV,4,0.070482207815,0.419016786078,0.0663700383717,0.249048913048,0.0398159939371,0.039748046153,0.42737186581,0.98846837112
subject_1,6,ZC,4,0.0098981077147,0.0724163027656,0.011499272198,0.0205240174672,0.0708879184862,0.032096069869,0.046943231441,0.00218340611354
subject_1,6,SSC,4,0.000241708070364,0.0421914865046,0.00185309520612,0.00585470659326,0.0526923593393,0.0457902511078,0.0417080703639,0.015845306835
subject_1,6,WL,4,0.0919619880668,0.322861387641,0.0602994672965,0.197177901032,0.0871936704087,0.0655244519411,0.380893799499,1.02061523772
subject_1,7,MAV,1,0.18386433106,0.593290418157,0.118924779532,0.242273206953,0.497411656372,0.29454443002,0.0344248498917,0.0724154124754
subject_1,7,ZC,1,0.344770793302,0.470883494765,0.417513038704,0.451746990314,0.49017685581,0.451119563939,0.301007803616,0.296106035057
subject_1,7,SSC,1,0.00245615381663,0.0855816095483,0.0571439536401,0.0822043980504,0.106957823234,0.0527305522508,0.017154699313,0.00230264420309
subject_1,7,WL,1,0.112150696783,0.0283384257594,0.232920790985,0.200947560907,0.118847418304,0.179904570758,0.171893171466,0.25227394118
subject_1,7,MAV,2,0.143196928661,0.112915969243,0.14902210259,0.0397645718317,0.100785232519,0.22757494489,0.00324340417325,0.0425821806911
subject_1,7,ZC,2,0.0559514783927,0.021935809957,0.140965377811,0.0826383623958,0.0927470305787,0.0990649481931,0.0091988880465,0.0215820065706
subject_1,7,SSC,2,0.0174172776291,0.0183870592343,0.0250203654137,0.00554715078164,0.00845649559719,0.0281236665503,0.011598587998,0.00562473331006
subject_1,7,WL,2,0.0855771621313,0.0219941312384,0.00688708327131,0.0318088513025,0.00177406041001,0.109465064495,0.00122439098568,0.0612027668154
subject_1,7,MAV,3,0.227695114803,0.125095302485,0.254834714822,0.346932169999,0.903138520785,0.299953843332,0.120338784857,0.113321596637
subject_1,7,ZC,3,0.906203473945,0.15641025641,1.04483043838,0.037799834574,0.626302729529,0.594458229942,0.11670802316,0.00537634408602
subject_1,7,SSC,3,0.0749602927975,0.0263448656861,0.0584904357434,0.0218562253988,0.00611145639113,0.0223741454319,0.0438850908086,0.0256543056419
subject_1,7,WL,3,0.20662823908,0.00456394933544,0.187510807768,0.383914612164,1.87822255655,0.975328704478,0.0221616096548,0.124651791397
subject_1,7,MAV,4,0.227695114803,0.125095302485,0.254834714822,0.346932169999,0.903138520785,0.299953843332,0.120338784857,0.113321596637
subject_1,7,ZC,4,0.906203473945,0.15641025641,1.04483043838,0.037799834574,0.626302729529,0.594458229942,0.11670802316,0.00537634408602
subject_1,7,SSC,4,0.0749602927975,0.0263448656861,0.0584904357434,0.0218562253988,0.00611145639113,0.0223741454319,0.0438850908086,0.0256543056419
subject_1,7,WL,4,0.20662823908,0.00456394933544,0.187510807768,0.383914612164,1.87822255655,0.975328704478,0.0221616096548,0.124651791397
subject_2,1,MAV,1,0.11817942904,0.298540620828,0.271740215566,0.311344830529,0.114396393745,0.185333514246,0.253267673024,0.195960443509
subject_2,1,ZC,1,0.011412504135,0.0051273569302,0.0248097915978,0.167796890506,0.0675653324512,0.129755210056,0.0943599073768,0.161263645385
subject_2,1,SSC,1,0.00616601567298,0.00876999041934,0.0218144299506,0.0495983491783,0.024320141499,0.0512933893434,0.0177610730341,0.0388876605989
subject_2,1,WL,1,0.0976064333699,0.249496226939,0.252368213143,0.196937714765,0.177366704394,0.118759808409,0.333075323199,0.335666853921
subject_2,1,MAV,2,0.180323807117,0.313921162397,0.0175241613698,0.139443265441,0.113015189408,0.0336859867618,0.175102951384,0.495191562815
subject_2,1,ZC,2,0.156042128603,0.297579453067,0.0693828529194,0.198909830007,0.0630081300813,0.0117331855137,0.0790835181079,0.24667405765
subject_2,1,SSC,2,0.0552793357662,0.101569962527,0.0148913762277,0.00764162727473,0.0357833892576,0.0147199294619,0.012540106297,0.0541037008009
subject_2,1,WL,2,0.0502356295736,0.102243739645,0.0881833812722,0.045126439193,0.0549670349712,0.0590824091595,0.117529453723,0.385120765178
subject_2,1,MAV,3,0.185867161072,0.0442870156731,0.099142491172,0.0214570590794,0.105671874411,0.371597100996,0.0264316164519,0.000307628920165
subject_2,1,ZC,3,0.000917571494112,0.0797522556966,0.0315032879645,0.00290564306469,0.00779935769995,0.0390732527909,0.0155987153999,0.0574246826732
subject_2,1,SSC,3,0.000125539821231,0.0286230792407,0.00868735562921,0.00123029024807,0.00230993271066,0.0340966154464,0.0710304308527,0.0113236918751
subject_2,1,WL,3,0.196479225686,0.0220526924346,0.0968272279536,0.0575896989306,0.132033098865,0.378108264585,0.030567571558,0.0980536101531
subject_2,1,MAV,4,0.185867161072,0.0442870156731,0.099142491172,0.0214570590794,0.105671874411,0.371597100996,0.0264316164519,0.000307628920165
subject_2,1,ZC,4,0.000917571494112,0.0797522556966,0.0315032879645,0.00290564306469,0.00779935769995,0.0390732527909,0.0155987153999,0.0574246826732
subject_2,1,SSC,4,0.000125539821231,0.0286230792407,0.00868735562921,0.00123029024807,0.00230993271066,0.0340966154464,0.0710304308527,0.0113236918751
subject_2,1,WL,4,0.196479225686,0.0220526924346,0.0968272279536,0.0575896989306,0.132033098865,0.378108264585,0.030567571558,0.0980536101531
subject_2,2,MAV,1,0.126332623373,0.193573881622,0.11383965434,0.0808443186898,0.152704164254,0.187534878558,0.187646164691,0.392700228942
subject_2,2,ZC,1,0.0640378548896,0.0643533123028,0.0332807570978,0.0736593059937,0.0154574132492,0.0498422712934,0.0329652996845,0.160015772871
subject_2,2,SSC,1,0.00208290997765,0.00317516764885,0.0201940662467,0.0303038000406,0.0367303393619,0.0551463117253,0.028627311522,0.0561877667141
subject_2,2,WL,1,0.049042210826,0.120177936369,0.0936778705485,0.012528014065,0.170970988582,0.15836762876,0.191909091675,0.216176468259
subject_2,2,MAV,2,0.209694647053,0.357770780105,0.0801827997212,0.0678122749059,0.0472748605438,0.106920537777,0.160136311842,0.483782611528
subject_2,2,ZC,2,0.146345993128,0.274027300585,0.0818088959049,0.182189618349,0.0109573776581,0.138638685115,0.0812517411087,0.235862197047
subject_2,2,SSC,2,0.0397268321339,0.0853037646253,0.0118225877515,0.0130709355265,0.0177705977383,0.00878738923973,0.0200714740295,0.0591374161649
subject_2,2,WL,2,0.108370552464,0.197414729437,0.150153234134,0.10549903985,0.0367927616534,0.0161047767733,0.109534083587,0.381917146398
subject_2,2,MAV,3,0.0221217849824,0.136298617174,0.312189260385,0.366758401356,0.397519828163,0.435076736491,0.679084415219,0.695148537497
subject_2,2,ZC,3,0.00577789106976,0.00195428668536,0.119891239698,0.190585436316,0.190330529357,0.259920129153,0.451695131277,0.0333928116238
subject_2,2,SSC,3,0.00262512266928,0.00488223748773,0.0487242394504,0.0613837095191,0.0878312070658,0.0996565260059,0.26923454367,0.0133464180569
